,Unnamed: 0,CENSUS2010POP,CENSUS2010POP.1,STATE,STNAME,POPESTIMATE2010,POPESTIMATE2019,PopChangeEstimate,NatChange,NumericChange,BirthChange,DeathChange,IntMigChange,DomMigChange,NetMigChange,RESIDUAL,OveralminusIntMig,PopulationChange,checkPOP,checkDOM,LogNoImm,LogImm,LogPopChan,colorGroup,quad,StateAbv,domPercent,intPercent,totalPercent
37,37,3831074,3831074,41,Oregon,3837491,4217737,380246,94584,386658,415363,320779,58232,233498,291730,344,328082,386314,386314,328082,5.515982404,4.765161706000001,5.586940447000001,2,1,OR,8.549388128858153,1.5174498129116134,10.066837941769766
38,38,12702379,12702379,42,Pennsylvania,12711160,12801989,90829,90377,99121,1297472,1207095,274060,-256728,17332,-8588,-166351,107709,107709,-166351,-5.221025416,5.437845652999999,5.032251994,3,2,PA,-1.308700386117396,2.156058141035122,0.8473577549177259
39,39,1052567,1052567,44,Rhode Island,1053959,1059361,5402,9669,6397,100094,90425,36913,-39790,-2877,-395,-30121,6792,6792,-30121,-4.478869386,4.567179343,3.831997677,3,2,RI,-2.8578910564832216,3.5023184013799398,0.6444273448967179
40,40,4625364,4625364,45,South Carolina,4635649,5148714,513065,102085,523348,529164,427079,50964,367227,418191,3072,469312,520276,520276,469312,5.671461658999999,4.7072635069999995,5.716233793,2,1,SC,10.123976168169763,1.099392986828813,11.223369154998577
41,41,814180,814180,46,South Dakota,816166,884659,68493,42559,70461,111921,69362,14192,13480,27672,230,56039,70231,70231,56039,4.7484903769999995,4.152043602,4.846528852,2,1,SD,6.866127724016928,1.7388619472019171,8.604989671218846
42,42,6346105,6346105,47,Tennessee,6355311,6829174,473863,143253,482898,744274,601021,79086,259342,338428,1217,402595,481681,481681,402595,5.604868377000001,4.89809961,5.682759516,2,1,TN,6.334780469437294,1.2444080234625812,7.579188492899876
43,43,25145561,25145561,48,Texas,25241971,28995881,3753910,1871086,3849790,3584148,1713062,818757,1145629,1964386,14318,3016715,3835472,3835472,3016715,6.479534283,5.913155026,6.583818817,2,1,TX,11.9511863792253,3.2436333913861164,15.194819770611415
44,44,2763885,2763885,49,Utah,2775332,3205958,430626,312441,442067,467200,154759,48077,82126,130203,-577,394567,442644,442644,394567,5.59612076,4.68193736,5.6460545820000005,2,1,UT,14.216929722281874,1.7322972530853968,15.949226975367273
45,45,625741,625741,50,Vermont,625879,623989,-1890,2053,-1748,54592,52539,7501,-10907,-3406,-395,-8854,-1353,-1353,-8854,-3.947139518,3.875119165,3.1312977969999998,4,2,VT,-1.4146504356273337,1.1984744655117043,-0.21617597011562936
46,46,8001024,8001024,51,Virginia,8023699,8535519,511820,343322,534470,941699,598377,261541,-71103,190438,710,272219,533760,533760,272219,5.434918434,5.41753978,5.727346025,2,1,VA,3.39268708858595,3.2596063237167794,6.65229341230273
47,47,6724540,6724540,53,Washington,6742830,7614893,872063,319214,890353,813809,494595,234772,336251,571023,116,655465,890237,890237,655465,5.816549507,5.3706463,5.94950564,2,1,WA,9.7209183681036,3.4818021513222193,13.20272051942582
48,48,1852994,1852994,54,West Virginia,1854239,1792147,-62092,-24043,-60871,182232,206275,6726,-43024,-36298,-530,-67067,-60341,-60341,-67067,-4.82650888,3.8277568630000003,4.780612503,4,2,WV,-3.6169555273079683,0.3627364110020337,-3.254219116305935
49,49,5686986,5686986,55,Wisconsin,5690475,5822434,131959,150659,135149,614771,464112,59251,-72006,-12755,-2755,78653,137904,137904,78653,4.895715292,4.772695683999999,5.139576863,2,1,WI,1.3821869000391003,1.041231180173887,2.423418080212987
50,50,563626,563626,56,Wyoming,564487,578759,14272,24672,14984,67998,43326,3371,-13514,-10143,455,11158,14529,14529,11158,4.047586357,3.527758753,4.162235723999999,2,1,WY,1.9766619957589813,0.5971793858848831,2.5738413816438643
