City,State,Origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
Belmont,Massachusetts,Russia,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Elmwood Park,New Jersey,Moldova,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Sacramento,California,Sri Lanka (Ceylon),0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,7
Upper Marlboro,Maryland,Cuba,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7
Greenfield,Wisconsin,Vietnam,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Milwaukie,Oregon,Uzbekistan,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Winder,Georgia,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Sandy Springs,Georgia,Iran,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7
Erie,Pennsylvania,Moldova,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
Conroe,Texas,Iraq,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,7
San Francisco,California,Sudan,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Fargo,North Dakota,Serbia,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Elgin,Texas,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Romeoville,Illinois,Rwanda,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Hillsboro,Oregon,Iraq,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,7
Concord,New Hampshire,Zimbabwe,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7
Claremont,California,Iraq,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,7
Colwyn,Pennsylvania,Sierra Leone,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Indiantown,Florida,Cuba,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Suwanee,Georgia,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Dayton,Virginia,Eritrea,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,7
Utica,New York,Republic of South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
North Charleston,South Carolina,Iraq,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
Gold River,California,Iran,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,7
Sacramento,California,Gaza Strip,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Landover,Maryland,Sudan,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Saint Louis,Missouri,Cameroon,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,7
Elmhurst,Illinois,Ukraine,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Park Ridge,Illinois,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Aurora,Illinois,Ukraine,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Las Vegas,Nevada,Sierra Leone,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Morgan Hill,California,Iran,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7
Chula Vista,California,Ukraine,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ada,Michigan,Sudan,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Arlington,Washington,Burundi,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Bremerton,Washington,Iran,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
Van Nuys,California,Uzbekistan,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7
Lakeland,Florida,Palestine,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Woodhaven,New York,Uzbekistan,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Elmwood Park,Illinois,Iraq,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,7
Los Angeles,California,Georgia,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
West Richland,Washington,Iraq,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,7
Fort Oglethorpe,Georgia,Iraq,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Lakeside,California,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
Morrisville,North Carolina,Eritrea,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
Parsippany,New Jersey,Iran,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
Philadelphia,Pennsylvania,Somalia,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,7
San Diego,California,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7
Glen Ellyn,Illinois,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7
Foley,Alabama,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Johnson City,New York,Sudan,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Charlottesville,Virginia,Kenya,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,7
Roseville,Minnesota,Liberia,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
Dayton,Ohio,Congo,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,7
Stone Mountain,Georgia,Rwanda,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Woodbridge,Virginia,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Rex,Georgia,Vietnam,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,7
Champaign,Illinois,Iraq,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
Kenmore,Washington,Iran,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,7
Saint Louis,Missouri,Kyrgyzstan,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,7
Decatur,Georgia,Chad,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,7
Southfield,Michigan,Kazakhstan,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Jefferson City,Missouri,Azerbaijan,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Kalamazoo,Michigan,Liberia,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Mesquite,Texas,Ethiopia,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Aloha,Oregon,Iraq,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,7
Plano,Texas,Ukraine,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,7
Taylorsville,Utah,Sudan,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
Athens,Georgia,Iran,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,7
New Haven,Connecticut,Bosnia and Herzegovina,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Scottsdale,Arizona,Eritrea,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,7
Shoreline,Washington,Afghanistan,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Richardson,Texas,Afghanistan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Worth,Illinois,Palestine,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7
Sparta,Michigan,Burundi,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Jacksonville,Florida,Mauritania,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7
South Boston,Massachusetts,Republic of South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,7
Parma Heights,Ohio,Belarus,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Chanhassen,Minnesota,Somalia,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Rohnert Park,California,Iran,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,7
Benton City,Washington,Uzbekistan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Camillus,New York,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7
Modesto,California,Eritrea,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,7
Covington,Washington,Burma,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7
Ontario,New York,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Hopkins,South Carolina,Somalia,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
San Lorenzo,California,Afghanistan,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7
Plumas Lake,California,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Maple Falls,Washington,Kyrgyzstan,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Sarasota,Florida,Russia,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Lakewood,Colorado,Bosnia and Herzegovina,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
New Fairfield,Connecticut,Iraq,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,7
El Cajon,California,Laos,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Chattanooga,Tennessee,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
Oakdale,Minnesota,Eritrea,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,7
Moorhead,Minnesota,Iran,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Addison,Texas,Sierra Leone,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Pine Brook,New Jersey,Afghanistan,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
South Gate,California,Cuba,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
Kyle,Texas,Cuba,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,7
South Lyon,Michigan,Iraq,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
Harrisonburg,Virginia,Kazakhstan,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,7
Worcester,Massachusetts,Cuba,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,0,7
Alameda,California,Iraq,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,7
Portland,Oregon,China,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,7
San Diego,California,Equatorial Guinea,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,7
Egg Harbor Township,New Jersey,Iraq,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7
Caguas,Puerto Rico,Cuba,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7
Hollywood,Florida,Iran,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
Tucson,Arizona,Togo,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
Portland,Oregon,Congo,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,7
Lake Worth,Florida,Colombia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,7
Bristol,Rhode Island,Liberia,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ypsilanti,Michigan,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Hanover Township,Pennsylvania,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7
Taylorsville,Utah,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
Jacksonville,Florida,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
Jonesboro,Georgia,Cuba,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Cypress,Texas,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7
Garden City,New York,Cuba,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bronx,New York,Cuba,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,7
Pennsauken,New Jersey,Cuba,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Richfield,Ohio,Iraq,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,7
Yuba City,California,Afghanistan,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,7
Hershey,Pennsylvania,Congo,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,7
Bartlett,Illinois,Iran,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7
Harrisburg,Pennsylvania,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Chelsea,Massachusetts,Sudan,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
Plano,Texas,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
Medford,Massachusetts,Ukraine,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Rancho Cucamonga,California,Ethiopia,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Nashville,Tennessee,Nepal,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,0,0,7
Conway,South Carolina,Sierra Leone,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Staten Island,New York,Pakistan,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,7
New York,New York,Bosnia and Herzegovina,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Hermitage,Tennessee,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Riverdale,Maryland,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Woodside,New York,Tibet,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Fairview,North Carolina,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,7
Glendale,Arizona,Sierra Leone,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7
Roseville,California,Belarus,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,7
Des Plaines,Illinois,Ukraine,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
New York,New York,Sri Lanka (Ceylon),0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,7
Albany,New York,Ethiopia,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,7
Grapevine,Texas,Iran,0,2,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,7
Chicago,Illinois,Latvia,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,7
Denver,Colorado,Sri Lanka (Ceylon),0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,7
Aloha,Oregon,Afghanistan,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Penngrove,California,Cuba,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,7
Mountain Top,Pennsylvania,Russia,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
North Saint Paul,Minnesota,Somalia,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7
Corona,New York,Ukraine,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
College Park,Maryland,Liberia,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Missoula,Montana,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7
Pineville,Louisiana,Serbia,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Waterford,Pennsylvania,Belarus,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Fontana,California,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7
West Springfiled,Massachusetts,Moldova,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Takoma Park,Maryland,Liberia,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Phoenix,Arizona,Egypt,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
Palm Bay,Florida,Cuba,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7
Newark,New Jersey,Russia,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Carol Stream,Illinois,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Canoga Park,California,Iraq,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7
Forest Hills,New York,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Hamtramck,Michigan,Liberia,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,7
Richland,Washington,Uzbekistan,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Manor,Texas,Burma,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,7
Columbus,Indiana,Sudan,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Santa Monica,California,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
Lewis Center,Ohio,Sierra Leone,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
West Covina,California,Iraq,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,7
Jacksonville,Tennessee,Iraq,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
Brooklyn,Connecticut,Moldova,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Garland,Texas,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Franklin Square,New York,Cuba,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,7
Riverside,Missouri,Liberia,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Troutdale,Oregon,Afghanistan,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Granite Falls,Minnesota,Laos,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Pacoima,California,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,7
Lake Hopatcong,New Jersey,Iraq,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Farmington Hills,Michigan,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Rochester,Minnesota,Serbia,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ballston Lake,New York,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Fort Worth,Texas,Angola,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Oakland,California,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Santa Ana,California,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
Encino,California,Vietnam,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Cleveland,Missouri,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Dripping Springs,Texas,Iraq,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
Moorestown,New Jersey,Pakistan,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Worcester,Massachusetts,Sierra Leone,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
Versailles,Kentucky,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Philadelphia,Pennsylvania,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7
New Orleans,Louisiana,Bosnia and Herzegovina,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Williston,Vermont,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7
Jacksonville,North Carolina,Iraq,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,7
Parlin,New Jersey,Ethiopia,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Chapel Hill,North Carolina,Iran,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,7
Utica,New York,Latvia,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
West Valley City,Utah,Vietnam,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Silver Spring,Maryland,Yemen,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Brookline,Massachusetts,Ukraine,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Allentown,Pennsylvania,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Industry,Pennsylvania,Pakistan,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Antioch,Tennessee,Sierra Leone,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Staunton,Virginia,Liberia,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
North Aurora,Illinois,Iran,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
Highland Park,New Jersey,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
Burnsville,Minnesota,Vietnam,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
West Bloomfield Township,Michigan,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6
Lawrence,Massachusetts,Burma,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
Toluca Lake,California,Iraq,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Clinton Township,Michigan,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
Boston,Massachusetts,Colombia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
Antioch,Tennessee,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
Mishawaka,Indiana,Rwanda,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
Clackamas,Oregon,Iraq,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,6
Independence,Kansas,Iraq,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
Garden Grove,California,Armenia,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,6
Wrightstown,Wisconsin,Laos,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Wylie,Texas,Iraq,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,6
Katy,Texas,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Bloomington,Minnesota,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
Hawthorne,California,Eritrea,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,6
High Point,North Carolina,Ukraine,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
Fort Gratiot,Michigan,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
Mequon,Wisconsin,Belarus,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Champlin,Minnesota,Russia,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Newton,Massachusetts,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
New Haven,Connecticut,Congo,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,6
Prudenville,Michigan,Vietnam,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
Jacksonville,North Carolina,Burma,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
Ephrata,Pennsylvania,Iraq,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Jefferson City,Missouri,Ethiopia,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Arlington,Texas,Burundi,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Minnetonka,Minnesota,Ukraine,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,6
Greeley,Colorado,Burundi,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
Rochester,New York,Nigeria,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6
Waleska,Georgia,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
Columbus,Ohio,Guinea,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Sewickley,Pennsylvania,Bhutan,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6
Valley Cottage,New York,Ukraine,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Roslyn,Pennsylvania,Bhutan,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,6
Clarkston,Georgia,Nigeria,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Allentown,Pennsylvania,Bosnia and Herzegovina,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Saint Cloud,Florida,Cuba,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
Marriottsville,Maryland,Iran,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,6
Du Page,Illinois,Dem. Rep. Congo,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Anaheim,California,Moldova,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Addison,Illinois,Vietnam,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Penbrook,Pennsylvania,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
Jonesboro,Arkansas,Burma,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,6
Oakland,California,Uzbekistan,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Fontana,California,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
Lyndhurst,New Jersey,Cuba,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,6
Providence,Rhode Island,Russia,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Redondo Beach,California,Iraq,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
Rock Island,Illinois,Burkina Faso (UVolta),0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
Ooltewah,Tennessee,Moldova,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Corryton,Tennessee,Iraq,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Pompano Beach,Florida,Haiti,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Miramar,Florida,Colombia,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,6
Hayward,California,Eritrea,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,6
