City,State,Origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
Kansas City,Kansas,Burma,0,2,0,4,16,64,96,156,126,88,131,149,180,217,167,51,55,1502
Minneapolis,Minnesota,Ethiopia,32,298,286,102,172,131,41,11,34,61,89,20,24,16,100,30,47,1494
Atlanta,Georgia,Somalia,0,2,71,20,14,26,29,71,72,50,161,128,350,143,244,109,0,1490
Louisville,Kentucky,Dem. Rep. Congo,4,5,24,0,6,21,11,1,36,35,66,61,78,208,444,163,315,1478
Baltimore,Maryland,Bhutan,0,0,0,0,0,0,154,180,195,422,213,93,83,52,50,24,7,1473
Lancaster,Pennsylvania,Bhutan,0,0,0,0,0,0,53,161,279,381,298,84,65,58,46,39,4,1468
Salt Lake City,Utah,Bhutan,0,0,0,0,0,0,180,332,232,150,233,136,60,69,48,13,8,1461
Grand Rapids,Michigan,Dem. Rep. Congo,13,14,2,3,1,1,2,10,81,52,80,72,139,128,481,168,210,1457
Battle Creek,Michigan,Burma,1,3,3,10,7,118,126,108,158,183,184,128,186,99,87,27,9,1437
Tucson,Arizona,Bhutan,0,0,0,0,0,0,168,464,273,236,148,78,26,22,7,9,5,1436
Phoenix,Arizona,Bhutan,0,0,0,0,0,0,179,509,207,205,203,65,30,12,12,3,0,1425
Columbus,Ohio,Iraq,0,0,0,0,0,14,111,144,176,54,159,206,218,130,168,42,3,1425
Chicago,Illinois,Somalia,1,34,311,242,212,172,40,16,18,46,89,73,39,38,41,22,0,1394
Rochester,New York,Burma,0,0,0,0,8,197,251,184,131,125,70,86,109,100,83,28,18,1390
Buffalo,New York,Iraq,28,4,1,5,7,14,41,133,177,76,128,188,263,111,148,57,1,1382
San Diego,California,Dem. Rep. Congo,1,4,11,5,11,27,9,35,39,25,40,16,54,265,635,68,132,1377
Greensboro,North Carolina,Vietnam,369,75,33,181,223,137,124,133,79,17,0,2,3,0,0,0,0,1376
Lincoln,Nebraska,Iraq,16,0,3,0,5,2,33,42,59,54,65,87,169,176,440,204,7,1362
Philadelphia,Pennsylvania,Liberia,52,332,266,250,138,169,42,34,25,15,13,11,0,0,8,0,0,1355
Nashville,Tennessee,Iraq,20,2,0,1,1,3,125,161,229,36,138,150,201,97,137,24,0,1325
Spokane,Washington,Burma,0,0,0,0,12,77,198,254,181,126,150,105,73,88,41,11,7,1323
Lexington,Kentucky,Dem. Rep. Congo,6,12,21,16,58,40,43,80,136,45,94,94,92,166,239,70,105,1317
Harrisburg,Pennsylvania,Bhutan,0,0,0,0,0,0,58,129,194,154,213,81,100,168,127,83,6,1313
Philadelphia,Pennsylvania,Burma,9,0,0,0,0,96,112,169,192,146,104,135,111,109,73,24,24,1304
Charlotte,North Carolina,Vietnam,277,132,25,250,199,159,119,77,49,7,3,0,0,0,4,0,2,1303
Saint Louis,Missouri,Bhutan,0,0,0,0,0,0,115,165,170,156,237,197,69,91,74,24,2,1300
Lansing,Michigan,Burma,0,0,4,32,19,103,197,203,172,141,138,86,35,91,36,16,20,1293
Lansing,Michigan,Somalia,2,9,171,70,62,49,83,76,39,54,75,75,170,144,188,25,0,1292
Lewisville,Texas,Burma,0,0,3,7,4,126,116,64,98,171,122,126,131,184,87,47,5,1291
Tulsa,Oklahoma,Burma,0,0,0,1,13,30,75,18,51,140,133,97,232,201,204,59,33,1287
High Point,North Carolina,Burma,0,1,24,10,2,148,142,318,112,80,80,136,79,58,57,16,16,1279
Houston,Texas,Cuba,26,3,122,138,46,100,87,106,149,64,80,152,139,55,8,4,0,1279
Chicago,Illinois,Bhutan,0,0,0,0,0,0,188,272,219,212,189,48,81,25,19,19,0,1272
Rockford,Illinois,Burma,0,0,0,0,33,94,144,207,151,139,127,70,103,121,41,12,13,1255
Glendale,Arizona,Iraq,6,1,4,2,3,4,94,131,94,33,120,134,233,177,160,57,0,1253
Decatur,Georgia,Bhutan,0,0,0,0,0,0,349,332,230,172,117,25,15,6,6,0,0,1252
Salt Lake City,Utah,Dem. Rep. Congo,7,0,5,23,13,0,41,22,48,39,29,48,124,129,362,147,201,1238
Fort Worth,Texas,Iraq,22,0,0,0,0,9,117,226,184,35,106,163,217,84,53,14,1,1231
Albany,New York,Burma,0,0,0,3,7,60,74,180,158,119,127,128,178,92,63,30,11,1230
Portland,Maine,Somalia,0,28,28,45,74,55,22,183,85,107,104,95,113,112,134,26,7,1218
Concord,New Hampshire,Bhutan,0,0,0,0,0,0,193,263,152,202,127,89,59,31,44,47,6,1213
Akron,Ohio,Burma,0,6,41,41,96,174,185,129,92,93,48,58,81,81,48,19,20,1212
Boise,Idaho,Iraq,0,4,0,0,0,28,237,185,73,52,79,143,223,71,99,16,1,1211
Portland,Oregon,Iraq,4,0,1,0,0,0,75,108,200,40,104,179,220,88,156,27,2,1204
Milwaukee,Wisconsin,Somalia,0,42,143,35,50,31,0,42,38,38,128,116,195,103,161,50,8,1180
Boise,Idaho,Burma,0,0,8,7,4,151,262,135,139,106,76,100,70,63,30,13,7,1171
Seattle,Washington,Bhutan,0,0,0,0,3,0,192,343,227,80,89,26,63,55,59,22,6,1165
Rochester,New York,Somalia,3,38,170,41,44,55,59,50,56,61,60,87,91,102,225,22,0,1164
Glendale,California,Iraq,0,0,0,0,0,20,88,168,183,116,139,161,171,43,59,13,2,1163
Philadelphia,Pennsylvania,Iraq,0,4,0,0,0,18,111,154,173,72,114,204,156,82,60,6,0,1154
Cleveland,Ohio,Bhutan,0,0,0,0,0,0,85,151,80,101,192,157,125,84,88,70,21,1154
Denver,Colorado,Dem. Rep. Congo,1,2,16,5,11,15,62,19,223,36,73,77,158,137,163,68,70,1136
San Diego,California,Syria,0,0,0,0,0,4,0,0,4,0,0,0,8,74,953,93,0,1136
Cincinnati,Ohio,Bhutan,0,0,0,0,0,0,99,108,83,88,142,122,85,149,128,98,23,1125
Boise,Idaho,Somalia,0,30,215,77,20,55,24,101,53,66,80,117,141,94,42,9,0,1124
Sacramento,California,Moldova,146,106,201,155,36,59,58,82,16,55,38,9,29,36,41,36,17,1120
Stone Mountain,Georgia,Somalia,4,18,451,92,115,38,27,60,73,49,57,35,44,25,20,10,1,1119
Lansing,Michigan,Bhutan,0,0,0,0,0,0,92,219,222,183,130,26,63,35,79,46,11,1106
Saint Louis,Missouri,Iraq,7,0,0,0,0,16,129,210,121,48,113,96,183,64,95,18,1,1101
Louisville,Kentucky,Cuba,51,14,89,77,44,65,108,114,124,37,44,166,119,39,10,0,0,1101
Erie,Pennsylvania,Somalia,0,5,101,59,35,32,39,52,13,9,9,73,250,198,195,30,0,1100
San Jose,California,Iran,56,48,41,91,209,153,137,139,54,31,32,32,12,27,28,6,0,1096
Kent,Washington,Iraq,1,0,2,2,0,1,21,69,164,65,121,221,175,108,128,18,0,1096
Kansas City,Missouri,Burma,0,0,0,0,0,35,136,109,154,129,85,145,97,92,56,21,22,1081
Skokie,Illinois,Iraq,9,0,0,0,0,24,172,221,145,69,89,138,118,52,23,7,1,1068
Raleigh,North Carolina,Burma,0,1,14,11,10,116,250,117,126,115,75,73,55,59,32,11,2,1067
Nashville,Tennessee,Dem. Rep. Congo,0,8,1,0,0,0,13,1,33,0,22,41,62,178,447,108,149,1063
Des Moines,Iowa,Bhutan,0,0,0,0,0,0,70,204,70,82,90,113,91,103,142,73,17,1055
Syracuse,New York,Dem. Rep. Congo,2,0,14,0,11,8,37,38,71,3,10,17,70,207,376,66,116,1046
Tujunga,California,Iran,11,6,14,6,96,183,216,256,62,45,22,46,29,24,17,8,0,1041
Decatur,Georgia,Somalia,5,23,211,172,92,39,71,111,72,36,100,90,17,0,0,0,0,1039
