State,City,Total,Latitude,Longitude
California,Fremont,256,37.565285,-121.982721
Kansas,Wichita,1854,37.651974,-97.258997
California,Modesto,1330,37.669463,-121.016796
California,Stockton,567,37.672196,-121.298794
California,Hayward,152,37.680181,-121.921498
California,Daly City,107,37.687509,-122.438783
Kentucky,Owensboro,966,37.751818,-87.257303
California,Alameda,236,37.770563,-122.264779
California,San Francisco,1446,37.776646,-122.417481
California,Oakland,2060,37.786027,-122.223779
California,Walnut Creek,351,37.873343,-122.070625
California,Concord,136,37.953672,-122.022872
Kansas,Garden City,480,38.000771,-100.664407
Virginia,Charlottesville,2795,38.026588,-78.48045
Kentucky,Lexington,2984,38.037847,-84.61645
Kentucky,Louisville,13104,38.188962,-85.676819
Virginia,Fredericksburg,582,38.295135,-77.483689
California,Sacramento,11260,38.380456,-121.555406
Virginia,Harrisonburg,2050,38.422777,-78.877137
California,Elk Grove,235,38.44148,-121.307142
Missouri,Jefferson City,222,38.494029,-92.165194
California,West Sacramento,759,38.591854,-121.537801
California,Rancho Cordova,1805,38.604269,-121.280328
California,Carmichael,668,38.62136,-121.332191
Virginia,Woodbridge,303,38.625541,-77.271644
Missouri,Saint Louis,9022,38.631501,-90.19231
California,Fair Oaks,456,38.655263,-121.260709
California,North Highlands,1176,38.66855,-121.3813
California,Citrus Heights,987,38.689802,-121.26736
Missouri,Sedalia,122,38.703138,-93.240166
California,Elverta,119,38.71379,-121.46273
California,Antelope,984,38.716091,-121.366613
California,Roseville,298,38.74073,-121.25603
Virginia,Manassas,111,38.744685,-77.487162
Virginia,Springfield,206,38.763463,-77.186063
Virginia,Alexandria,1050,38.819853,-77.059645
Maryland,Lanham,163,38.833563,-76.877743
Virginia,Annandale,248,38.835762,-77.212794
Virginia,Centreville,125,38.84479,-77.46701
Virginia,Fairfax,403,38.853231,-77.305097
Colorado,Colorado Springs,1381,38.861469,-104.857828
Virginia,Falls Church,1639,38.884177,-77.171752
Virginia,Arlington,411,38.885484,-77.099113
Missouri,Columbia,1529,38.894165,-92.274145
Virginia,Vienna,133,38.897361,-77.253749
Kansas,Olathe,125,38.899901,-94.831991
District of Columbia,Washington,568,38.911936,-77.016719
Maryland,Hyattsville,389,38.95286,-76.946296
Virginia,Reston,197,38.96146,-77.3418
Maryland,Riverdale,896,38.963206,-76.917795
Maryland,Takoma Park,168,38.98236,-77.005798
Virginia,Herndon,136,38.983887,-77.367457
Kansas,Overland Park,183,39.02315,-94.669467
Maryland,Silver Spring,3574,39.036289,-77.010948
Virginia,Sterling,235,39.085309,-77.645224
Maryland,Laurel,159,39.093136,-76.881945
Missouri,Kansas City,6106,39.102404,-94.598583
Kansas,Kansas City,3128,39.103053,-94.630384
Maryland,Savage,180,39.136189,-76.815044
Maryland,Gaithersburg,190,39.139336,-77.182953
Maryland,Rockville,259,39.143979,-77.207617
Ohio,Cincinnati,2311,39.166759,-84.53822
Maryland,Elkridge,186,39.205756,-76.753093
Maryland,Columbia,195,39.206132,-76.887905
Maryland,Catonsville,130,39.26461,-76.74241
Maryland,Baltimore,7859,39.296536,-76.623489
New Jersey,Atlantic City,213,39.377297,-74.451082
Maryland,Frederick,404,39.443551,-77.33294
New Jersey,Vineland,136,39.495524,-75.008665
Colorado,Arvada,306,39.522014,-105.223945
Nevada,Reno,123,39.525749,-119.813051
California,Oroville,185,39.578352,-121.58212
Maryland,Hagerstown,218,39.58887,-77.700213
Colorado,Englewood,101,39.645995,-105.011411
Colorado,Denver,14833,39.726303,-104.856808
Colorado,Aurora,1854,39.739249,-104.862881
Colorado,Lakewood,503,39.744773,-105.115977
California,Chico,145,39.746159,-121.840083
Ohio,Dayton,2036,39.750471,-84.268593
Missouri,Saint Joseph,100,39.765442,-94.844432
Indiana,Indianapolis,13194,39.775092,-86.13216
New Jersey,Camden,1091,39.80237,-74.938259
Colorado,Thornton,117,39.868041,-104.971924
Pennsylvania,Darby,244,39.917562,-75.269628
Pennsylvania,Upper Darby,147,39.960411,-75.270393
Pennsylvania,Philadelphia,8824,40.001811,-75.11787
Ohio,Hilliard,240,40.0334,-83.15825
Pennsylvania,Lancaster,4476,40.076553,-76.31068
Ohio,Dublin,138,40.09746,-83.150103
Ohio,Columbus,14423,40.100924,-83.013402
Ohio,Westerville,196,40.10447,-82.896457
Pennsylvania,Bensalem,193,40.10455,-74.95128
Pennsylvania,Bristol,141,40.115859,-74.853608
Pennsylvania,Roslyn,139,40.131777,-75.137674
Pennsylvania,Mechanicsburg,233,40.182917,-77.004599
Pennsylvania,Harrisburg,2030,40.258655,-76.894376
New Jersey,Trenton,1083,40.280531,-74.712018
Colorado,Greeley,1251,40.384991,-104.680631
Pennsylvania,Pittsburgh,5262,40.47441,-79.950968
Utah,Sandy,108,40.577106,-111.889047
Pennsylvania,Allentown,1187,40.602658,-75.469236
New York,Staten Island,685,40.606381,-74.114616
New Jersey,Linden,999,40.626953,-74.250939
New York,Brooklyn,3096,40.63122,-73.941542
Minnesota,Brooklyn Center,798,40.63122,-73.941542
Utah,Murray,158,40.666892,-111.887991
New Jersey,Elizabeth,1945,40.672052,-74.183438
New York,New York,2478,40.68863,-74.018244
Utah,West Valley City,169,40.691613,-112.00105
New York,Rego Park,214,40.722861,-73.862069
New York,Forest Hills,158,40.723041,-73.843688
New York,Queens,120,40.7282,-73.7949
New Jersey,Jersey City,391,40.73276,-74.075485
New York,Elmhurst,108,40.73509,-73.877562
New Jersey,Newark,256,40.736101,-74.22509
New York,Corona,183,40.748751,-73.854333
Utah,Salt Lake City,13474,40.756095,-111.900719
New Jersey,East Orange,123,40.77185,-74.207039
New York,Flushing,158,40.780747,-73.825301
New Jersey,West New York,136,40.7888,-74.011533
New York,Bronx,621,40.863028,-73.799802
Nebraska,Lincoln,3321,40.865142,-96.823133
Nebraska,Grand Island,134,40.87227,-98.368698
New Jersey,Paterson,313,40.911999,-74.170965
Ohio,Akron,5323,41.04349,-81.524017
Indiana,Fort Wayne,3918,41.093763,-85.070713
Ohio,Kent,111,41.132323,-81.332781
Ohio,Cuyahoga Falls,262,41.143906,-81.473585
Nebraska,Omaha,8103,41.291736,-96.171104
Connecticut,Bridgeport,813,41.308873,-73.363661
Connecticut,Derby,224,41.327246,-73.084252
Connecticut,New Haven,2082,41.365709,-72.927507
Pennsylvania,Scranton,1701,41.401881,-75.637626
Ohio,Parma,374,41.404774,-81.722909
Ohio,Beachwood,168,41.473248,-81.505389
Ohio,Lakewood,552,41.48199,-81.79819
Illinois,Moline,1124,41.482387,-90.493492
Ohio,Cleveland,4632,41.489381,-81.667486
Illinois,Rock Island,883,41.495083,-90.604899
Illinois,East Moline,171,41.50087,-90.4443
Ohio,Cleveland Heights,1331,41.520052,-81.556235
Iowa,West Des Moines,156,41.567138,-93.717232
Indiana,Goshen,125,41.584839,-85.858059
Iowa,Clive,190,41.607588,-93.744905
Iowa,Urbandale,123,41.630449,-93.753628
Iowa,Iowa City,107,41.634209,-91.49905
Iowa,Des Moines,7345,41.672687,-93.572173
Indiana,South Bend,252,41.673383,-86.251654
Ohio,Toledo,269,41.720684,-83.569359
Illinois,Aurora,2254,41.747452,-88.238622
Connecticut,Hartford,3654,41.78007,-72.677099
Rhode Island,Providence,2788,41.82275,-71.414451
Illinois,Carol Stream,441,41.839679,-88.088716
Illinois,Glen Ellyn,439,41.865213,-88.061479
Illinois,Wheaton,2903,41.87272,-88.112442
Illinois,Chicago,15944,41.88531,-87.62213
Illinois,West Chicago,170,41.896691,-88.211014
Illinois,Glendale Heights,162,41.918877,-88.078095
Iowa,Cedar Rapids,364,41.976612,-91.657578
Illinois,Lincolnwood,102,42.00798,-87.736135
Illinois,Niles,268,42.031179,-87.811163
Illinois,Skokie,1218,42.035259,-87.729928
Iowa,Marshalltown,179,42.036096,-92.998867
Illinois,Morton Grove,234,42.039329,-87.793815
Illinois,Des Plaines,360,42.048278,-87.890466
Pennsylvania,Erie,7325,42.121293,-80.088919
Massachusetts,West Springfield,3608,42.125793,-72.645334
Massachusetts,Westfield,985,42.153503,-72.771602
Massachusetts,Chicopee,135,42.154904,-72.602804
New York,Binghamton,336,42.165629,-75.890685
Massachusetts,Springfield,2631,42.170731,-72.604842
Michigan,Ypsilanti,116,42.202139,-83.620494
Massachusetts,Quincy,125,42.241799,-71.006042
Massachusetts,Worcester,4856,42.265275,-71.879415
Michigan,Ann Arbor,783,42.266638,-83.849042
Michigan,Dearborn Heights,225,42.277334,-83.264832
Massachusetts,Dorchester,331,42.291413,-71.042158
Michigan,Battle Creek,1694,42.303041,-85.13044
Massachusetts,Jamaica Plain,261,42.309661,-71.121097
Michigan,Dearborn,1359,42.310037,-83.177625
Massachusetts,Framingham,158,42.320169,-71.440409
Massachusetts,Roxbury,122,42.325098,-71.095329
Illinois,Rockford,3524,42.33342,-89.157198
Massachusetts,South Boston,969,42.333431,-71.049495
Michigan,Detroit,470,42.347021,-83.060184
Massachusetts,Boston,3229,42.370567,-71.026964
Massachusetts,Cambridge,113,42.380442,-71.132947
Massachusetts,Chelsea,275,42.39176,-71.03283
Idaho,Twin Falls,3467,42.400555,-114.524876
New York,Ithaca,150,42.402794,-76.483999
Massachusetts,Malden,186,42.436545,-71.085396
Iowa,Waterloo,229,42.441117,-92.339209
Massachusetts,Lynn,663,42.461246,-70.946743
Michigan,Hazel Park,235,42.46254,-83.10409
Michigan,Oak Park,356,42.466585,-83.178177
Michigan,Novi,109,42.468959,-83.522221
Michigan,Warren,1626,42.474786,-82.995121
Michigan,Madison Heights,1061,42.48587,-83.1052
Michigan,Southfield,4670,42.496949,-83.291078
Michigan,Farmington Hills,447,42.502483,-83.408935
Michigan,West Bloomfield,572,42.542715,-83.379535
Michigan,Bloomfield Hills,113,42.544534,-83.279231
Michigan,Clinton Township,734,42.551185,-82.91672
Michigan,Sterling Heights,4369,42.564395,-83.068475
Michigan,Lansing,7056,42.599184,-84.371973
Massachusetts,Greenfield,230,42.601335,-72.623619
Michigan,Troy,3613,42.606088,-83.297593
New York,Albany,3313,42.614852,-73.970812
New York,Rensselaer,250,42.64258,-73.7429
Massachusetts,Lowell,1933,42.656045,-71.303309
Michigan,Macomb,149,42.673476,-82.916262
Michigan,Rochester Hills,100,42.724318,-83.147306
New Hampshire,Nashua,331,42.741295,-71.458793
Michigan,Grandville,333,42.882726,-85.753056
New York,Buffalo,15858,42.89606,-78.886424
Michigan,Wyoming,158,42.897707,-85.692805
Michigan,Kentwood,179,42.945748,-85.613839
New York,Amherst,119,42.979,-78.7923
Michigan,Grand Rapids,7057,42.984226,-85.629101
New Hampshire,Manchester,2854,42.988483,-71.462111
Wisconsin,Milwaukee,9538,43.011264,-87.958409
New York,Syracuse,11859,43.02143,-76.197701
New York,Solvay,116,43.058122,-76.207426
Wisconsin,Madison,849,43.06956,-89.423861
New York,Utica,6272,43.077369,-75.233208
New York,Webster,138,43.21821,-77.454075
New Hampshire,Concord,3322,43.230314,-71.536101
New York,Rochester,7974,43.286024,-77.684264
Maine,Biddeford,147,43.492125,-70.485368
South Dakota,Sioux Falls,5424,43.546358,-96.69063
Idaho,Boise,9043,43.603768,-116.272921
Michigan,Shelby,244,43.638343,-86.349283
Michigan,Shelby Township,226,43.638343,-86.349283
Maine,Portland,2877,43.658784,-70.262393
Minnesota,Austin,189,43.699305,-92.976818
Maine,Westbrook,246,43.707947,-70.352614
Wisconsin,Sheboygan,609,43.71011,-87.735217
Wisconsin,La Crosse,213,43.806197,-91.140529
Minnesota,Bloomington,347,43.86663,-93.05103
Minnesota,Owatonna,200,44.047613,-93.223724
Wisconsin,Oshkosh,833,44.062886,-88.535694
Minnesota,Rochester,1684,44.075285,-92.516916
Maine,Lewiston,441,44.086323,-70.169297
Wisconsin,Manitowoc,111,44.109709,-87.714403
Wisconsin,Appleton,370,44.275702,-88.370856
Minnesota,Faribault,326,44.36287,-93.267456
South Dakota,Huron,820,44.398874,-98.180113
Minnesota,Marshall,124,44.460429,-95.785872
Vermont,Burlington,1300,44.476622,-73.209998
Wisconsin,Green Bay,375,44.480778,-88.016063
Vermont,Essex Junction,120,44.485558,-73.025271
Vermont,Colchester,2093,44.49518,-73.165092
Vermont,Winooski,613,44.498032,-73.182158
Wisconsin,Stevens Point,123,44.510664,-89.638254
Michigan,Traverse City,114,44.693963,-85.676342
Minnesota,Burnsville,570,44.730944,-93.291381
Wisconsin,Eau Claire,124,44.75653,-91.473097
Minnesota,Shakopee,224,44.79861,-93.51944
Minnesota,Eden Prairie,601,44.850563,-93.440429
Minnesota,Richfield,576,44.883298,-93.283002
Minnesota,Saint Louis Park,245,44.90414,-93.373157
Minnesota,Minnetonka,159,44.916963,-93.481749
Oregon,Salem,333,44.94878,-123.003655
Minnesota,Saint Paul,12982,44.951483,-93.090649
Minnesota,Hopkins,268,44.952763,-93.43723
Wisconsin,Wausau,336,44.963304,-89.704051
Minnesota,Minneapolis,13756,44.984577,-93.269097
