Index,year,statefip,age_cohorts,TotalAll,totalNat,totalFor,TotalWork,workFor,workNat,foreignBorn,nativeBorn,foreignTotalPer,foreignWorkPer
18,2000,Alaska,0-4,626187,587975,38212,343563,27305,316258,547,48319,0.061023305,0.079475962
19,2000,Alaska,5-9,626187,587975,38212,343563,27305,316258,1010,53118,0.061023305,0.079475962
20,2000,Alaska,10-14,626187,587975,38212,343563,27305,316258,1286,52735,0.061023305,0.079475962
21,2000,Alaska,15-19,626187,587975,38212,343563,27305,316258,2370,46369,0.061023305,0.079475962
22,2000,Alaska,20-24,626187,587975,38212,343563,27305,316258,2602,39492,0.061023305,0.079475962
23,2000,Alaska,25-29,626187,587975,38212,343563,27305,316258,3157,39579,0.061023305,0.079475962
24,2000,Alaska,30-34,626187,587975,38212,343563,27305,316258,4583,41915,0.061023305,0.079475962
25,2000,Alaska,35-39,626187,587975,38212,343563,27305,316258,4524,50742,0.061023305,0.079475962
26,2000,Alaska,40-44,626187,587975,38212,343563,27305,316258,4148,55356,0.061023305,0.079475962
27,2000,Alaska,45-49,626187,587975,38212,343563,27305,316258,4178,50319,0.061023305,0.079475962
28,2000,Alaska,50-54,626187,587975,38212,343563,27305,316258,2702,37551,0.061023305,0.079475962
29,2000,Alaska,55-59,626187,587975,38212,343563,27305,316258,1978,25930,0.061023305,0.079475962
30,2000,Alaska,60-64,626187,587975,38212,343563,27305,316258,2035,14866,0.061023305,0.079475962
31,2000,Alaska,65-69,626187,587975,38212,343563,27305,316258,1403,10661,0.061023305,0.079475962
32,2000,Alaska,70-74,626187,587975,38212,343563,27305,316258,656,8805,0.061023305,0.079475962
33,2000,Alaska,75-79,626187,587975,38212,343563,27305,316258,608,5898,0.061023305,0.079475962
34,2000,Alaska,80-84,626187,587975,38212,343563,27305,316258,291,3582,0.061023305,0.079475962
35,2000,Alaska,85+,626187,587975,38212,343563,27305,316258,134,2738,0.061023305,0.079475962
36,2000,Arizona,0-4,5133711,4471537,662174,2591894,421104,2170790,12776,360680,0.128985445,0.162469607
37,2000,Arizona,5-9,5133711,4471537,662174,2591894,421104,2170790,25510,373166,0.128985445,0.162469607
38,2000,Arizona,10-14,5133711,4471537,662174,2591894,421104,2170790,30104,347674,0.128985445,0.162469607
39,2000,Arizona,15-19,5133711,4471537,662174,2591894,421104,2170790,47128,314709,0.128985445,0.162469607
40,2000,Arizona,20-24,5133711,4471537,662174,2591894,421104,2170790,70049,291988,0.128985445,0.162469607
41,2000,Arizona,25-29,5133711,4471537,662174,2591894,421104,2170790,81542,292091,0.128985445,0.162469607
42,2000,Arizona,30-34,5133711,4471537,662174,2591894,421104,2170790,75959,289354,0.128985445,0.162469607
43,2000,Arizona,35-39,5133711,4471537,662174,2591894,421104,2170790,72732,329270,0.128985445,0.162469607
44,2000,Arizona,40-44,5133711,4471537,662174,2591894,421104,2170790,61484,324686,0.128985445,0.162469607
45,2000,Arizona,45-49,5133711,4471537,662174,2591894,421104,2170790,45511,282377,0.128985445,0.162469607
46,2000,Arizona,50-54,5133711,4471537,662174,2591894,421104,2170790,35806,259998,0.128985445,0.162469607
47,2000,Arizona,55-59,5133711,4471537,662174,2591894,421104,2170790,26340,211013,0.128985445,0.162469607
48,2000,Arizona,60-64,5133711,4471537,662174,2591894,421104,2170790,21730,182001,0.128985445,0.162469607
49,2000,Arizona,65-69,5133711,4471537,662174,2591894,421104,2170790,18495,169837,0.128985445,0.162469607
